sample_id,dataset,category_or_subset,model_name,num_detections,top_confidence,detection_status,inference_time_ms
sample_0087,ScienceDB,BCS_4.25,FasterRCNN_v2,4,0.9184,detected,490.73
sample_0087,ScienceDB,BCS_4.25,RT-DETR-L,7,0.8811,detected,94.99
sample_0088,ScienceDB,BCS_4.25,YOLOv8s,1,0.5127,detected,22.83
sample_0088,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.9807,detected,488.44
sample_0088,ScienceDB,BCS_4.25,RT-DETR-L,2,0.9628,detected,94.95
sample_0089,ScienceDB,BCS_4.25,YOLOv8s,3,0.7251,detected,23.74
sample_0089,ScienceDB,BCS_4.25,FasterRCNN_v2,5,0.9974,detected,493.55
sample_0089,ScienceDB,BCS_4.25,RT-DETR-L,9,0.6395,detected,94.28
sample_0090,ScienceDB,BCS_4.25,YOLOv8s,3,0.7868,detected,23.83
sample_0090,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.8826,detected,490.14
sample_0090,ScienceDB,BCS_4.25,RT-DETR-L,8,0.9705,detected,94.96
sample_0091,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,22.23
sample_0091,ScienceDB,BCS_4.25,FasterRCNN_v2,0,,no_detection,481.74
sample_0091,ScienceDB,BCS_4.25,RT-DETR-L,1,0.9143,detected,94.21
sample_0092,ScienceDB,BCS_4.25,YOLOv8s,1,0.2819,detected,23.91
sample_0092,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.9794,detected,490.43
sample_0092,ScienceDB,BCS_4.25,RT-DETR-L,2,0.8306,detected,94.8
sample_0093,ScienceDB,BCS_4.25,YOLOv8s,2,0.8863,detected,23.59
sample_0093,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.9667,detected,489.62
sample_0093,ScienceDB,BCS_4.25,RT-DETR-L,3,0.8967,detected,94.07
sample_0094,ScienceDB,BCS_4.25,YOLOv8s,1,0.8925,detected,29.54
sample_0094,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.998,detected,491.5
sample_0094,ScienceDB,BCS_4.25,RT-DETR-L,1,0.9528,detected,93.97
sample_0095,ScienceDB,BCS_4.25,YOLOv8s,1,0.3987,detected,23.61
sample_0095,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.5425,detected,493.47
sample_0095,ScienceDB,BCS_4.25,RT-DETR-L,1,0.3844,detected,94.27
sample_0096,ScienceDB,BCS_4.25,YOLOv8s,2,0.644,detected,23.38
sample_0096,ScienceDB,BCS_4.25,FasterRCNN_v2,1,0.973,detected,490.56
sample_0096,ScienceDB,BCS_4.25,RT-DETR-L,3,0.9551,detected,94.34
sample_0097,ScienceDB,BCS_4.25,YOLOv8s,1,0.5693,detected,23.67
sample_0097,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.9613,detected,493.69
sample_0097,ScienceDB,BCS_4.25,RT-DETR-L,2,0.7562,detected,94.38
sample_0098,ScienceDB,BCS_4.25,YOLOv8s,1,0.7351,detected,25.49
sample_0098,ScienceDB,BCS_4.25,FasterRCNN_v2,2,0.9979,detected,491.96
sample_0098,ScienceDB,BCS_4.25,RT-DETR-L,3,0.932,detected,95.22
sample_0099,ScienceDB,BCS_4.25,YOLOv8s,0,,no_detection,25.58
sample_0099,ScienceDB,BCS_4.25,FasterRCNN_v2,3,0.915,detected,492.38
sample_0099,ScienceDB,BCS_4.25,RT-DETR-L,1,0.7878,detected,93.97
sample_0100,ScienceDB,BCS_4.25,YOLOv8s,4,0.881,detected,23.75
sample_0100,ScienceDB,BCS_4.25,FasterRCNN_v2,8,0.9599,detected,489.8
sample_0100,ScienceDB,BCS_4.25,RT-DETR-L,8,0.9614,detected,93.94
sample_0101,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,34.28
sample_0101,MmCows,Behavior_Lying,FasterRCNN_v2,1,0.439,detected,503.68
sample_0101,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,93.95
sample_0102,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,24.19
sample_0102,MmCows,Behavior_Lying,FasterRCNN_v2,5,0.6426,detected,506.08
sample_0102,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,94.07
sample_0103,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,34.06
sample_0103,MmCows,Behavior_Lying,FasterRCNN_v2,4,0.8103,detected,357.94
sample_0103,MmCows,Behavior_Lying,RT-DETR-L,0,,no_detection,93.98
sample_0104,MmCows,Behavior_Lying,YOLOv8s,0,,no_detection,34.02
sample_0104,MmCows,Behavior_Lying,FasterRCNN_v2,0,,no_detection,433.37
sample_0104,MmCows,Behavior_Lying,RT-DETR-L,1,0.3528,detected,94.83
